0,600,16268,172,-62,315,-75,0,0,0,0,16,5
1,948,16456,432,-70,1250,-48,0,0,0,0,16,5
2,700,16360,872,16,2326,-44,0,0,0,0,16,5
3,712,16188,880,214,3301,-15,0,0,0,0,16,5
4,700,16184,1220,388,4715,158,0,0,0,0,16,5
5,676,16528,1304,353,6318,87,0,0,0,0,16,5
6,1148,16712,1164,-77,7965,-65,0,0,0,0,16,5
7,1488,16668,1124,-243,10175,-167,0,0,0,0,16,5
8,1064,16604,1524,-223,12522,-158,0,0,0,0,16,5
9,860,16716,588,-305,14356,-196,0,0,0,0,16,5
10,332,16476,-468,-402,19683,-218,0,0,0,0,16,5
11,416,16456,44,-356,16304,-213,0,0,0,0,16,5
12,-188,16536,-344,-319,13665,-145,0,0,0,0,16,5
13,-92,16488,-192,-294,10331,-172,0,0,0,0,16,5
14,-72,16356,-288,-215,7008,-186,0,0,0,0,16,5
15,-176,16380,-120,-179,4145,-129,0,0,0,0,16,5
16,44,16420,244,-180,2321,-99,0,0,0,0,16,5
17,160,16376,216,-167,1396,-113,0,0,0,0,16,5
18,80,16376,388,-125,567,-101,0,0,0,0,16,5
19,320,16472,464,-133,235,-108,0,0,0,0,16,5
20,212,16360,344,-142,-252,-93,0,0,0,0,16,5
21,252,16412,348,-134,-383,-134,0,0,0,0,16,5
22,44,16420,308,-143,-737,-112,0,0,0,0,16,5
23,428,16440,348,-113,-1150,-117,0,0,0,0,16,5
24,380,16316,436,-106,-964,-120,0,0,0,0,16,5
25,176,16516,316,-119,-886,-107,0,0,0,0,16,5
26,40,16472,108,-125,-2317,-94,0,0,0,0,16,5
27,-200,16412,-216,-99,-4738,-57,0,0,0,0,16,5
28,68,16400,132,-62,-7286,-76,0,0,0,0,16,5
29,172,16412,-172,-27,-9320,-55,0,0,0,0,16,5
30,100,16468,-80,28,-10917,-48,0,0,0,0,16,5
31,-68,16496,-364,36,-13134,-9,0,0,0,0,16,5
32,152,16584,-372,95,-16118,-45,0,0,0,0,16,5
33,44,16192,-772,136,-19876,41,0,0,0,0,16,5
34,592,16368,-824,174,-23942,111,0,0,0,0,16,5
35,1988,16672,-48,209,-24166,-90,0,0,0,0,16,5
36,1404,16344,-112,120,-21707,-84,0,0,0,0,16,5
37,2264,16288,-372,76,-20462,105,0,0,0,0,16,5
38,752,16280,-656,122,-20264,-17,0,0,0,0,16,5
39,736,16344,-532,137,-19992,-9,0,0,0,0,16,5
40,896,16520,384,25,-18195,-12,0,0,0,0,16,5
41,824,16400,1168,-37,-13035,-77,0,0,0,0,16,5
42,564,16412,512,-75,-9240,-72,0,0,0,0,16,5
43,1268,16228,2820,-509,-3447,-243,0,0,0,0,16,5
44,748,17200,-2408,-434,-780,-67,0,0,0,0,16,5
45,344,16624,-1180,-149,405,-132,0,0,0,0,16,5
46,984,16288,600,-179,322,-112,0,0,0,0,16,5
47,-372,16428,36,-174,19,-136,0,0,0,0,16,5
48,224,16464,-256,-84,56,-73,0,0,0,0,16,5
49,232,16524,-304,-196,47,-116,0,0,0,0,16,5
50,-88,16308,136,-153,81,-112,0,0,0,0,16,5
51,336,16496,-80,-105,36,-116,0,0,0,0,16,5
52,236,16480,-156,-170,28,-84,0,0,0,0,16,5
53,84,16292,124,-145,51,-98,0,0,0,0,16,5
54,196,16488,-28,-118,3,-108,0,0,0,0,16,5
55,140,16444,-104,-150,33,-99,0,0,0,0,16,5
56,116,16460,160,-111,51,-98,0,0,0,0,16,5
57,208,16388,-60,-127,59,-101,0,0,0,0,16,5
0,600,16268,172,-62,315,-75,0,0,0,0,16,5
1,948,16456,432,-70,1250,-48,0,0,0,0,16,5
2,700,16360,872,16,2326,-44,0,0,0,0,16,5
3,712,16188,880,214,3301,-15,0,0,0,0,16,5
4,700,16184,1220,388,4715,158,0,0,0,0,16,5
5,676,16528,1304,353,6318,87,0,0,0,0,16,5
6,1148,16712,1164,-77,7965,-65,0,0,0,0,16,5
7,1488,16668,1124,-243,10175,-167,0,0,0,0,16,5
8,1064,16604,1524,-223,12522,-158,0,0,0,0,16,5
9,860,16716,588,-305,14356,-196,0,0,0,0,16,5
10,332,16476,-468,-402,19683,-218,0,0,0,0,16,5
11,416,16456,44,-356,16304,-213,0,0,0,0,16,5
12,-188,16536,-344,-319,13665,-145,0,0,0,0,16,5
13,-92,16488,-192,-294,10331,-172,0,0,0,0,16,5
14,-72,16356,-288,-215,7008,-186,0,0,0,0,16,5
15,-176,16380,-120,-179,4145,-129,0,0,0,0,16,5
16,44,16420,244,-180,2321,-99,0,0,0,0,16,5
17,160,16376,216,-167,1396,-113,0,0,0,0,16,5
18,80,16376,388,-125,567,-101,0,0,0,0,16,5
19,320,16472,464,-133,235,-108,0,0,0,0,16,5
20,212,16360,344,-142,-252,-93,0,0,0,0,16,5
21,252,16412,348,-134,-383,-134,0,0,0,0,16,5
22,44,16420,308,-143,-737,-112,0,0,0,0,16,5
23,428,16440,348,-113,-1150,-117,0,0,0,0,16,5
24,380,16316,436,-106,-964,-120,0,0,0,0,16,5
25,176,16516,316,-119,-886,-107,0,0,0,0,16,5
26,40,16472,108,-125,-2317,-94,0,0,0,0,16,5
27,-200,16412,-216,-99,-4738,-57,0,0,0,0,16,5
28,68,16400,132,-62,-7286,-76,0,0,0,0,16,5
29,172,16412,-172,-27,-9320,-55,0,0,0,0,16,5
30,100,16468,-80,28,-10917,-48,0,0,0,0,16,5
31,-68,16496,-364,36,-13134,-9,0,0,0,0,16,5
32,152,16584,-372,95,-16118,-45,0,0,0,0,16,5
33,44,16192,-772,136,-19876,41,0,0,0,0,16,5
34,592,16368,-824,174,-23942,111,0,0,0,0,16,5
35,1988,16672,-48,209,-24166,-90,0,0,0,0,16,5
36,1404,16344,-112,120,-21707,-84,0,0,0,0,16,5
37,2264,16288,-372,76,-20462,105,0,0,0,0,16,5
38,752,16280,-656,122,-20264,-17,0,0,0,0,16,5
39,736,16344,-532,137,-19992,-9,0,0,0,0,16,5
40,896,16520,384,25,-18195,-12,0,0,0,0,16,5
41,824,16400,1168,-37,-13035,-77,0,0,0,0,16,5
42,564,16412,512,-75,-9240,-72,0,0,0,0,16,5
43,1268,16228,2820,-509,-3447,-243,0,0,0,0,16,5
44,748,17200,-2408,-434,-780,-67,0,0,0,0,16,5
45,344,16624,-1180,-149,405,-132,0,0,0,0,16,5
46,984,16288,600,-179,322,-112,0,0,0,0,16,5
47,-372,16428,36,-174,19,-136,0,0,0,0,16,5
48,224,16464,-256,-84,56,-73,0,0,0,0,16,5
49,232,16524,-304,-196,47,-116,0,0,0,0,16,5
50,-88,16308,136,-153,81,-112,0,0,0,0,16,5
51,336,16496,-80,-105,36,-116,0,0,0,0,16,5
52,236,16480,-156,-170,28,-84,0,0,0,0,16,5
53,84,16292,124,-145,51,-98,0,0,0,0,16,5
54,196,16488,-28,-118,3,-108,0,0,0,0,16,5
55,140,16444,-104,-150,33,-99,0,0,0,0,16,5
56,116,16460,160,-111,51,-98,0,0,0,0,16,5
57,208,16388,-60,-127,59,-101,0,0,0,0,16,5
